stage_index,stage,epoch,train_loss,train_acc,val_loss,val_acc,val_wauc,started_at,train_seconds,validation_seconds,epoch_elapsed_seconds,stage_elapsed_seconds,learning_rate,trainable_parameter_count,frozen_parameter_count,selected_best_state
6,feature_3,4,0.3474118504921595,0.4935,0.34659432991345723,0.6506666666666666,0.5852986243386243,2026-07-21T16:54:57.472028+00:00,70.0701318140018,4.601008017998538,74.67174117800096,302.75716332999946,0.0001,47921,3960908,False
7,feature_2,1,0.3475889293352763,0.497625,0.3465941922664642,0.3486666666666667,0.5855650793650794,2026-07-21T16:56:36.696730+00:00,94.53575853099755,4.6186845720003475,99.15533966200019,99.15844859700155,0.0001,17995,3990834,True
7,feature_2,2,0.34724578430255254,0.50775,0.346682146469752,0.75,0.5853686772486774,2026-07-21T16:58:16.057574+00:00,94.55147998699977,4.712966809998761,99.26536216399836,198.52413464799974,0.0001,17995,3990834,False
7,feature_2,3,0.3473165685137113,0.4922916666666667,0.346608269850413,0.7286666666666667,0.5856107936507937,2026-07-21T16:59:55.046800+00:00,94.36936814799992,4.620030925001629,98.99421423600143,297.51890582600026,0.0001,17995,3990834,False
7,feature_2,4,0.3475048266847928,0.5019166666666667,0.34689927768707274,0.25,0.5854260317460318,2026-07-21T17:01:34.075371+00:00,94.45353725000314,4.58144614000048,99.0354827250012,396.55496109399974,0.0001,17995,3990834,False
8,feature_1,1,0.3470009515285492,0.49766666666666665,0.34713735008239743,0.75,0.5856019047619049,2026-07-21T17:03:08.666318+00:00,89.94572256299944,4.586660426997696,94.53303212899846,94.53576792199965,0.0001,2729,4006100,True
8,feature_1,2,0.34732095660765966,0.5095833333333334,0.3465483794212341,0.747,0.5859703703703704,2026-07-21T17:04:43.328970+00:00,90.01906198099823,4.56497331999708,94.58469724199676,189.20405521499924,0.0001,2729,4006100,True
8,feature_1,3,0.34706467189391454,0.50575,0.3467737074693044,0.75,0.5855669841269842,2026-07-21T17:06:17.995746+00:00,89.96624655099731,4.608600716001092,94.57539590699889,283.87622591200125,0.0001,2729,4006100,False
8,feature_1,4,0.3472728292544683,0.5115833333333333,0.3473999869823456,0.603,0.5856969312169312,2026-07-21T17:07:52.555613+00:00,89.9746633729992,4.590057756999158,94.56523056799779,378.44224053799917,0.0001,2729,4006100,False
8,feature_1,5,0.3473122288386027,0.49445833333333333,0.34674813151359557,0.4036666666666667,0.5857587301587303,2026-07-21T17:09:27.151972+00:00,90.03055184299956,4.570510956000362,94.60168444699957,473.0446233370021,0.0001,2729,4006100,False
